schema_version,source,station_id,measurement_id,measurement_date,measurement_time,timezone,input_file,input_path,operator,device_model,device_serial,n_verticals,width_m,area_m2,q_total_m3s,depth_measured_m,v_mean_ms,temp_mean_c,method,extras_json,q_total_ls
0.1,flowtracker,P11,flowtracker:P11:20251216:140332:20260423_223429,20251216,140332,America/Montevideo,APINTBER.P11.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P11\APINTBER.P11.dis,FM,FlowTracker_Handheld_ADV,P5546,10,8.3,1.1722,0.09983,0.141,0.0851,,3.7 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.7 %"", ""4.3 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/16 14:03:32"", ""File_Name"": ""APINTBER.P11.WAD"", ""Mean_Bnd"": ""1 Good"", ""Mean_SNR"": ""31.5 dB"", ""Mean_Verr"": ""0.0027 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""6.6 %"", ""14.1 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""1.6 %"", ""13.4 %""]}",99.83
0.1,flowtracker,P12,flowtracker:P12:20251216:112833:20260423_223429,20251216,112833,America/Montevideo,STALUCR6.P12.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P12\STALUCR6.P12.dis,FMBC,FlowTracker_Handheld_ADV,P5546,10,3.9,0.2572,0.03313,0.066,0.1288,,3.4 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.7 %"", ""12.6 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/16 11:28:33"", ""File_Name"": ""STALUCR6.P12.WAD"", ""Mean_Bnd"": ""1 Good"", ""Mean_SNR"": ""31.1 dB"", ""Mean_Verr"": ""0.0041 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""6.9 %"", ""21.6 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""2.9 %"", ""17.5 %""]}",33.13
0.1,flowtracker,P13,flowtracker:P13:20251218:114015:20260423_223429,20251218,114015,America/Montevideo,P1318123.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P13\P1318123.TXT.dis,FMENDOZA,FlowTracker_Handheld_ADV,P5546,22,6.15,0.8162,0.09373,0.133,0.1149,,1.8 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.4 %"", ""1.2 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/18 11:40:15"", ""File_Name"": ""P1318123.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""25.1 dB"", ""Mean_Verr"": ""0.0015 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""3.1 %"", ""2.6 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""0.3 %"", ""2.1 %""]}",93.73
0.1,flowtracker,P14,flowtracker:P14:20251218:134532:20260423_223429,20251218,134532,America/Montevideo,P141812.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P14\P141812.TXT.dis,FMENDOZA,FlowTracker_Handheld_ADV,P5546,30,11.99,1.8142,0.06133,0.151,0.0338,,2.1 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.3 %"", ""44.2 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/18 13:45:32"", ""File_Name"": ""P141812.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""26.2 dB"", ""Mean_Verr"": ""0.0014 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": ""SOLDADO Y CHANCHOS"", ""Overall"": [""3.1 %"", ""45.6 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""1.0 %"", ""11.2 %""]}",61.330000000000005
0.1,flowtracker,P15,flowtracker:P15:20251218:162727:20260423_223429,20251218,162727,America/Montevideo,P151812.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P15\P151812.TXT.dis,FMENDOZA,FlowTracker_Handheld_ADV,P5546,16,4.5,1.0072,0.03163,0.224,0.0314,,2.1 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.3 %"", ""2.9 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/18 16:27:27"", ""File_Name"": ""P151812.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""24.8 dB"", ""Mean_Verr"": ""0.0011 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": ""AO SAN FRANCISCO"", ""Overall"": [""4.0 %"", ""5.7 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""0.9 %"", ""4.7 %""]}",31.63
0.1,flowtracker,P1,flowtracker:P1:20251217:140433:20260423_223429,20251217,140433,America/Montevideo,P11712.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P1\P11712.TXT.dis,IPEREZ,FlowTracker_Handheld_ADV,P5546,18,3.55,0.4092,0.04383,0.115,0.1072,,2.2 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.4 %"", ""4.8 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/17 14:04:33"", ""File_Name"": ""P11712.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""30.4 dB"", ""Mean_Verr"": ""0.0033 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""3.8 %"", ""6.8 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""0.8 %"", ""4.7 %""]}",43.83
0.1,flowtracker,P3,flowtracker:P3:20251217:121724:20260423_223429,20251217,121724,America/Montevideo,P31712.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P3\P31712.TXT.dis,IPEREZ,FlowTracker_Handheld_ADV,P5546,15,4.2,0.4972,0.01323,0.118,0.0265,,3.0 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.6 %"", ""3.8 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/17 12:17:24"", ""File_Name"": ""P31712.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""33.1 dB"", ""Mean_Verr"": ""0.0016 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""5.0 %"", ""11.4 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""1.7 %"", ""10.7 %""]}",13.23
0.1,flowtracker,P5,flowtracker:P5:20251217:093425:20260423_223429,20251217,93425,America/Montevideo,COLORADO.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P5\COLORADO.TXT.dis,TIAGO,FlowTracker_Handheld_ADV,P5546,24,11.3,3.3962,0.04983,0.3,0.0147,,1.5 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.3 %"", ""1.6 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/17 09:34:25"", ""File_Name"": ""COLORADO.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""33.0 dB"", ""Mean_Verr"": ""0.0006 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": ""COLORADO"", ""Overall"": [""2.9 %"", ""5.8 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""0.8 %"", ""5.5 %""]}",49.83
0.1,flowtracker,P8,flowtracker:P8:20251215:115907:20260423_223429,20251215,115907,America/Montevideo,CHAM1512.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P8\CHAM1512.dis,MARIGN,FlowTracker_Handheld_ADV,P5546,15,5.6,2.2322,0.17023,0.399,0.0762,,2.6 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.3 %"", ""1.3 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/15 11:59:07"", ""File_Name"": ""CHAM1512.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""29.2 dB"", ""Mean_Verr"": ""0.0048 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": ""CHAMIZO"", ""Overall"": [""4.8 %"", ""15.0 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""1.9 %"", ""14.9 %""]}",170.23
0.1,flowtracker,P911,flowtracker:P911:20251215:141733:20260423_223429,20251215,141733,America/Montevideo,CSJ11512.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P911\CSJ11512.dis,MARIGN,FlowTracker_Handheld_ADV,P5546,11,5.3,3.1422,0.05743,0.593,0.0183,,1.7 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.2 %"", ""1.8 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/15 14:17:33"", ""File_Name"": ""CSJ11512.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""40.2 dB"", ""Mean_Verr"": ""0.0008 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": ""SANJOSE1"", ""Overall"": [""5.2 %"", ""14.3 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""1.1 %"", ""14.1 %""]}",57.43
0.1,flowtracker,P912,flowtracker:P912:20251215:153753:20260423_223429,20251215,153753,America/Montevideo,CSJ21512.TXT.dis,D:\Dropbox\MADI\DINAGUA_SL\03-Proces_Info_DIN\01-Salidas_campo\20251215_Salida_13\flowtracker_S13\P912\CSJ21512.TXT.dis,IPEREZ,FlowTracker_Handheld_ADV,P5546,13,2.4,0.4312,0.01343,0.18,0.0311,,3.5 %,"{""Accuracy"": [""1.0 %"", ""1.0 %""], ""Averaging_Interval"": ""40 sec"", ""Boundary_Condition_(Bnd)"": [""0 Best"", ""1 Good"", ""2 Fair"", ""3 Poor""], ""CPU_Firmware_Version"": ""3.9"", ""Depth"": [""0.7 %"", ""1.8 %""], ""Discharge_Equation"": ""Mid-Section"", ""Discharge_Uncertainty_(ISO)"": """", ""Discharge_Uncertainty_(Statistical)"": """", ""Fecha_y_hora_de_inicio"": ""2025/12/15 15:37:53"", ""File_Name"": ""CSJ21512.TXT.WAD"", ""Mean_Bnd"": ""0 Best"", ""Mean_SNR"": ""33.3 dB"", ""Mean_Verr"": ""0.0024 m/s"", ""Mounting_Correction"": ""0.0%"", ""Nom._del_punto_de_aforo"": """", ""Overall"": [""6.0 %"", ""11.1 %""], ""Software_Ver"": ""2.30 (Build 108 - Mar 23 2009)"", ""Start_Edge"": ""LEW"", ""Unit_System"": ""Metric Units"", ""Velocity"": [""2.5 %"", ""10.9 %""]}",13.43
